"RouteID","RouteType","RouteName","RouteDescription","RouteSegmentSequence","SegmentID","SegmentMapPointSequence","MapPointID"
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",1,1,1,184
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",1,1,2,185
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",1,1,3,186
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",1,1,4,187
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",1,1,5,188
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",1,1,6,189
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",2,2,1,190
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",2,2,2,191
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",3,3,NA,NA
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",4,4,2,18
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",4,4,3,19
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",4,4,4,20
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",4,4,5,21
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",4,4,6,22
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",1,1,1,184
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",1,1,2,185
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",1,1,3,186
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",1,1,4,187
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",1,1,5,188
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",1,1,6,189
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",2,2,1,190
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",2,2,2,191
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",3,7,1,192
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",3,7,2,193
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,2,80
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,3,81
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,4,82
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,5,83
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,6,84
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,7,85
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,8,86
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,9,87
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,10,88
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,11,89
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,12,90
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,13,91
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,14,92
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,15,93
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,16,94
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,17,95
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,18,96
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,19,97
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,20,98
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,21,99
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,22,100
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,23,101
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,24,102
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,25,103
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,26,104
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,27,105
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,28,106
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,29,107
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,30,108
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,32,109
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,33,110
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,34,111
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,35,112
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,36,113
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,37,114
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,38,115
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,39,116
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,40,117
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,41,118
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,42,119
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,43,120
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,44,121
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,45,122
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,46,123
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,47,124
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,48,125
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,1,126
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,2,127
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,3,128
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,4,129
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,5,130
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,6,131
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,7,132
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,8,133
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,9,134
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,10,135
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,11,136
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,12,137
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,13,138
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,14,139
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,15,140
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,16,141
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,17,142
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,18,143
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,19,144
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,20,145
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,21,146
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,22,147
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,23,148
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,24,149
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,25,150
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,26,151
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,27,152
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,28,153
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,29,154
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,30,155
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,31,156
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,32,157
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,33,158
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,34,159
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,35,160
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,36,161
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,37,162
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,38,163
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,39,164
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,40,165
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,41,166
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,42,167
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,43,168
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,44,169
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,45,170
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,46,171
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,47,172
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,48,173
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,49,174
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,50,175
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,51,176
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,52,177
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,53,178
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,54,179
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,55,180
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,56,181
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,57,182
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6,58,183
4,"2 Day","Babson to P-Town","Babson to P-Town",2,2,1,190
4,"2 Day","Babson to P-Town","Babson to P-Town",2,2,2,191
4,"2 Day","Babson to P-Town","Babson to P-Town",3,3,NA,NA
4,"2 Day","Babson to P-Town","Babson to P-Town",4,4,2,18
4,"2 Day","Babson to P-Town","Babson to P-Town",4,4,3,19
4,"2 Day","Babson to P-Town","Babson to P-Town",4,4,4,20
4,"2 Day","Babson to P-Town","Babson to P-Town",4,4,5,21
4,"2 Day","Babson to P-Town","Babson to P-Town",4,4,6,22
6,"1 Day","Sturbridge to MMA","Sturbridge to MMA",1,1,1,184
6,"1 Day","Sturbridge to MMA","Sturbridge to MMA",1,1,2,185
6,"1 Day","Sturbridge to MMA","Sturbridge to MMA",1,1,3,186
6,"1 Day","Sturbridge to MMA","Sturbridge to MMA",1,1,4,187
6,"1 Day","Sturbridge to MMA","Sturbridge to MMA",1,1,5,188
6,"1 Day","Sturbridge to MMA","Sturbridge to MMA",1,1,6,189
6,"1 Day","Sturbridge to MMA","Sturbridge to MMA",2,2,1,190
6,"1 Day","Sturbridge to MMA","Sturbridge to MMA",2,2,2,191
7,"1 Day","Babson to MMA","Babson to MMA",1,6,1,126
7,"1 Day","Babson to MMA","Babson to MMA",1,6,2,127
7,"1 Day","Babson to MMA","Babson to MMA",1,6,3,128
7,"1 Day","Babson to MMA","Babson to MMA",1,6,4,129
7,"1 Day","Babson to MMA","Babson to MMA",1,6,5,130
7,"1 Day","Babson to MMA","Babson to MMA",1,6,6,131
7,"1 Day","Babson to MMA","Babson to MMA",1,6,7,132
7,"1 Day","Babson to MMA","Babson to MMA",1,6,8,133
7,"1 Day","Babson to MMA","Babson to MMA",1,6,9,134
7,"1 Day","Babson to MMA","Babson to MMA",1,6,10,135
7,"1 Day","Babson to MMA","Babson to MMA",1,6,11,136
7,"1 Day","Babson to MMA","Babson to MMA",1,6,12,137
7,"1 Day","Babson to MMA","Babson to MMA",1,6,13,138
7,"1 Day","Babson to MMA","Babson to MMA",1,6,14,139
7,"1 Day","Babson to MMA","Babson to MMA",1,6,15,140
7,"1 Day","Babson to MMA","Babson to MMA",1,6,16,141
7,"1 Day","Babson to MMA","Babson to MMA",1,6,17,142
7,"1 Day","Babson to MMA","Babson to MMA",1,6,18,143
7,"1 Day","Babson to MMA","Babson to MMA",1,6,19,144
7,"1 Day","Babson to MMA","Babson to MMA",1,6,20,145
7,"1 Day","Babson to MMA","Babson to MMA",1,6,21,146
7,"1 Day","Babson to MMA","Babson to MMA",1,6,22,147
7,"1 Day","Babson to MMA","Babson to MMA",1,6,23,148
7,"1 Day","Babson to MMA","Babson to MMA",1,6,24,149
7,"1 Day","Babson to MMA","Babson to MMA",1,6,25,150
7,"1 Day","Babson to MMA","Babson to MMA",1,6,26,151
7,"1 Day","Babson to MMA","Babson to MMA",1,6,27,152
7,"1 Day","Babson to MMA","Babson to MMA",1,6,28,153
7,"1 Day","Babson to MMA","Babson to MMA",1,6,29,154
7,"1 Day","Babson to MMA","Babson to MMA",1,6,30,155
7,"1 Day","Babson to MMA","Babson to MMA",1,6,31,156
7,"1 Day","Babson to MMA","Babson to MMA",1,6,32,157
7,"1 Day","Babson to MMA","Babson to MMA",1,6,33,158
7,"1 Day","Babson to MMA","Babson to MMA",1,6,34,159
7,"1 Day","Babson to MMA","Babson to MMA",1,6,35,160
7,"1 Day","Babson to MMA","Babson to MMA",1,6,36,161
7,"1 Day","Babson to MMA","Babson to MMA",1,6,37,162
7,"1 Day","Babson to MMA","Babson to MMA",1,6,38,163
7,"1 Day","Babson to MMA","Babson to MMA",1,6,39,164
7,"1 Day","Babson to MMA","Babson to MMA",1,6,40,165
7,"1 Day","Babson to MMA","Babson to MMA",1,6,41,166
7,"1 Day","Babson to MMA","Babson to MMA",1,6,42,167
7,"1 Day","Babson to MMA","Babson to MMA",1,6,43,168
7,"1 Day","Babson to MMA","Babson to MMA",1,6,44,169
7,"1 Day","Babson to MMA","Babson to MMA",1,6,45,170
7,"1 Day","Babson to MMA","Babson to MMA",1,6,46,171
7,"1 Day","Babson to MMA","Babson to MMA",1,6,47,172
7,"1 Day","Babson to MMA","Babson to MMA",1,6,48,173
7,"1 Day","Babson to MMA","Babson to MMA",1,6,49,174
7,"1 Day","Babson to MMA","Babson to MMA",1,6,50,175
7,"1 Day","Babson to MMA","Babson to MMA",1,6,51,176
7,"1 Day","Babson to MMA","Babson to MMA",1,6,52,177
7,"1 Day","Babson to MMA","Babson to MMA",1,6,53,178
7,"1 Day","Babson to MMA","Babson to MMA",1,6,54,179
7,"1 Day","Babson to MMA","Babson to MMA",1,6,55,180
7,"1 Day","Babson to MMA","Babson to MMA",1,6,56,181
7,"1 Day","Babson to MMA","Babson to MMA",1,6,57,182
7,"1 Day","Babson to MMA","Babson to MMA",1,6,58,183
7,"1 Day","Babson to MMA","Babson to MMA",2,2,1,190
7,"1 Day","Babson to MMA","Babson to MMA",2,2,2,191
8,"1 Day","MMA to Babson","MMA to Babson",1,7,1,192
8,"1 Day","MMA to Babson","MMA to Babson",1,7,2,193
8,"1 Day","MMA to Babson","MMA to Babson",2,9,2,80
8,"1 Day","MMA to Babson","MMA to Babson",2,9,3,81
8,"1 Day","MMA to Babson","MMA to Babson",2,9,4,82
8,"1 Day","MMA to Babson","MMA to Babson",2,9,5,83
8,"1 Day","MMA to Babson","MMA to Babson",2,9,6,84
8,"1 Day","MMA to Babson","MMA to Babson",2,9,7,85
8,"1 Day","MMA to Babson","MMA to Babson",2,9,8,86
8,"1 Day","MMA to Babson","MMA to Babson",2,9,9,87
8,"1 Day","MMA to Babson","MMA to Babson",2,9,10,88
8,"1 Day","MMA to Babson","MMA to Babson",2,9,11,89
8,"1 Day","MMA to Babson","MMA to Babson",2,9,12,90
8,"1 Day","MMA to Babson","MMA to Babson",2,9,13,91
8,"1 Day","MMA to Babson","MMA to Babson",2,9,14,92
8,"1 Day","MMA to Babson","MMA to Babson",2,9,15,93
8,"1 Day","MMA to Babson","MMA to Babson",2,9,16,94
8,"1 Day","MMA to Babson","MMA to Babson",2,9,17,95
8,"1 Day","MMA to Babson","MMA to Babson",2,9,18,96
8,"1 Day","MMA to Babson","MMA to Babson",2,9,19,97
8,"1 Day","MMA to Babson","MMA to Babson",2,9,20,98
8,"1 Day","MMA to Babson","MMA to Babson",2,9,21,99
8,"1 Day","MMA to Babson","MMA to Babson",2,9,22,100
8,"1 Day","MMA to Babson","MMA to Babson",2,9,23,101
8,"1 Day","MMA to Babson","MMA to Babson",2,9,24,102
8,"1 Day","MMA to Babson","MMA to Babson",2,9,25,103
8,"1 Day","MMA to Babson","MMA to Babson",2,9,26,104
8,"1 Day","MMA to Babson","MMA to Babson",2,9,27,105
8,"1 Day","MMA to Babson","MMA to Babson",2,9,28,106
8,"1 Day","MMA to Babson","MMA to Babson",2,9,29,107
8,"1 Day","MMA to Babson","MMA to Babson",2,9,30,108
8,"1 Day","MMA to Babson","MMA to Babson",2,9,32,109
8,"1 Day","MMA to Babson","MMA to Babson",2,9,33,110
8,"1 Day","MMA to Babson","MMA to Babson",2,9,34,111
8,"1 Day","MMA to Babson","MMA to Babson",2,9,35,112
8,"1 Day","MMA to Babson","MMA to Babson",2,9,36,113
